node_id,fma_id,canonical_name,side,region,segment,min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z
FJ3256,FMA24498,left calcaneus,left,foot,foot_l,0.045010,-0.068417,0.024207,0.100768,-0.019071,0.094142,0.072889,-0.043744,0.059174
FJ3257,FMA24447,left capitate,left,hand,hand_l,0.248610,0.782164,0.110573,0.264288,0.804588,0.127351,0.256449,0.793376,0.118962
FJ3258,FMA24529,left cuboid bone,left,foot,foot_l,0.081965,-0.051522,0.083163,0.115134,-0.021853,0.116685,0.098550,-0.036688,0.099924
FJ3259,FMA24475,left femur,left,leg,thigh_l,0.031966,0.368056,0.049482,0.150237,0.834239,0.112276,0.091102,0.601148,0.080879
FJ3260,FMA24481,left fibula,left,leg,lower_leg_l,0.084529,-0.025191,0.048534,0.120108,0.359131,0.078119,0.102319,0.166970,0.063327
FJ3261,FMA24449,left hamate,left,hand,hand_l,0.236597,0.781256,0.111322,0.251570,0.800631,0.133982,0.244084,0.790944,0.122652
FJ3262,FMA23131,left humerus,left,arm,upper_arm_l,0.140073,1.029210,0.051056,0.240760,1.336520,0.100229,0.190416,1.182865,0.075642
FJ3263,FMA54738,left inferior nasal concha,left,skull,skull,0.004591,1.482660,0.133951,0.015940,1.498050,0.169480,0.010266,1.490355,0.151716
FJ3264,FMA24524,left intermediate cuneiform bone,left,foot,foot_l,0.082014,-0.034429,0.109632,0.101955,-0.011310,0.130330,0.091984,-0.022870,0.119981
FJ3265,FMA53646,left lacrimal bone,left,skull,skull,0.007319,1.497870,0.150764,0.017931,1.526880,0.164732,0.012625,1.512375,0.157748
FJ3267,FMA24526,left lateral cuneiform bone,left,foot,foot_l,0.087226,-0.040627,0.100898,0.112885,-0.014815,0.125146,0.100056,-0.027721,0.113022
FJ3268,FMA24438,left lunate,left,hand,hand_l,0.236339,0.797222,0.110628,0.252883,0.809888,0.127131,0.244611,0.803555,0.118879
FJ3269,FMA53650,left maxilla,left,skull,skull,-0.003068,1.463990,0.126814,0.045795,1.533290,0.182880,0.021364,1.498640,0.154847
FJ3271,FMA24522,left medial cuneiform bone,left,foot,foot_l,0.066043,-0.045144,0.112061,0.094109,-0.014192,0.140519,0.080076,-0.029668,0.126290
FJ3272,FMA53648,left nasal bone,left,skull,skull,-0.002522,1.501850,0.169290,0.007200,1.533490,0.189467,0.002339,1.517670,0.179378
FJ3273,FMA53656,left palatine bone,left,skull,skull,-0.001543,1.470160,0.103322,0.027458,1.513400,0.149962,0.012958,1.491780,0.126642
FJ3274,FMA52789,left parietal bone,left,skull,skull,-0.007868,1.517800,-0.014952,0.074856,1.636270,0.131686,0.033494,1.577035,0.058367
FJ3275,FMA24487,left patella,left,leg,knee_l,0.060593,0.361497,0.100901,0.102224,0.400763,0.122751,0.081408,0.381130,0.111826
FJ3276,FMA24442,left pisiform,left,hand,hand_l,0.231838,0.789725,0.127031,0.240030,0.801277,0.137589,0.235934,0.795501,0.132310
